[2026-09-26T15:23:09.276Z] variant photo sets for 1 Better Bathrooms products
[2026-09-26T15:23:18.122Z] ✓ Wall Hung Vanity Unit with Basin - Pendle — 9 variants, 5-5 photos each, 32 uploaded, 45 media total
[2026-09-26T15:23:18.123Z] finished: 1 ok, 0 failed, 32 photos uploaded
[2026-09-26T15:29:35.370Z] variant photo sets for 629 Better Bathrooms products
[2026-09-26T15:29:38.630Z] ✓ Single Bowl Inset Granite Composite Kitchen Sink with Reversible Drainer - Enza Laurie — 2 variants, 5-6 photos each, 5 uploaded, 11 media total
[2026-09-26T15:29:44.097Z] ✓ Single Bowl Inset Granite Composite Kitchen Sink with Reversible Drainer - Enza Phoebe — 4 variants, 4-4 photos each, 9 uploaded, 16 media total
[2026-09-26T15:29:45.945Z] ✓ 1.5 Bowl Inset Granite Composite Kitchen Sink with Reversible Drainer - Enza Laurie — 4 variants, 4-7 photos each, 15 uploaded, 22 media total
[2026-09-26T15:29:45.951Z] ✓ 500mm 1 Tap Hole Basin with Wash Stand - Bowen — 2 variants, 6-6 photos each, 5 uploaded, 12 media total
[2026-09-26T15:29:46.754Z] ✓ 1.5 Bowl Undermount Granite Composite Kitchen Sink with Waste Kit - Enza Eden — 2 variants, 5-6 photos each, 5 uploaded, 11 media total
[2026-09-26T15:29:48.048Z] ✓ Rectangular Sliding Door Shower Enclosure Suite with Toilet and Basin - Pavo — 4 variants, 10-11 photos each, 29 uploaded, 42 media total
[2026-09-26T15:29:49.365Z] ✓ Chrome Rectangular Sliding Door Shower Enclosure Suite with Toilet and Basin - Carina — 2 variants, 10-10 photos each, 9 uploaded, 20 media total
[2026-09-26T15:29:50.145Z] ✓ Chrome Rectangular Sliding Door Shower Enclosure with Side Panel Suite with Toilet and Basin - Carina — 2 variants, 10-10 photos each, 9 uploaded, 20 media total
[2026-09-26T15:29:53.407Z] ✓ Slate Effect Rectangular Anti-Slip Slimline Shower Tray - Sileti — 4 variants, 6-7 photos each, 16 uploaded, 25 media total
[2026-09-26T15:29:53.726Z] ✓ Ribbed / Fluted Glass Shower Screen for Wet Room & Walk In Shower - Matira — 2 variants, 5-5 photos each, 4 uploaded, 10 media total
[2026-09-26T15:29:54.059Z] ✓ Rectangular Sliding Door Shower Enclosure with Side Panel Suite with Toilet and Basin - Pavo — 4 variants, 11-12 photos each, 32 uploaded, 46 media total
[2026-09-26T15:29:56.718Z] ✓ 1000mm Curved Glass Shower Screen for Wet Room & Walk In Shower - Raya — 2 variants, 11-12 photos each, 9 uploaded, 21 media total
[2026-09-26T15:29:57.045Z] ✓ Rectangular Stone Resin Shower Tray — 2 variants, 3-5 photos each, 2 uploaded, 8 media total
[2026-09-26T15:30:06.276Z] ✓ Toilet and Sink Unit with Round Toilet - Pendle — 6 variants, 10-10 photos each, 45 uploaded, 60 media total
[2026-09-26T15:30:14.493Z] ✓ Toilet and Sink Unit with Traditional Toilet - Baxenden — 9 variants, 8-10 photos each, 61 uploaded, 79 media total
[2026-09-26T15:30:19.014Z] ✓ 1150mm Wooden Fluted Toilet and Sink Unit with Square Toilet & Basin and Chrome Push Button - Matira — 2 variants, 13-13 photos each, 10 uploaded, 24 media total
[2026-09-26T15:30:22.160Z] ✓ Toilet and Sink Unit with Round Toilet and Push Button - Palma — 18 variants, 8-9 photos each, 135 uploaded, 161 media total
[2026-09-26T15:30:22.441Z] ✓ 1150mm Wooden Fluted Toilet and Sink Unit with Square Toilet and Chrome Fittings - Matira — 2 variants, 13-13 photos each, 9 uploaded, 23 media total
[2026-09-26T15:30:25.896Z] ✓ 1200 x 1200mm Foldable Accessible Shower Enclosure - Easy-Clean Safety Glass Mobility-Friendly Design — 2 variants, 3-3 photos each, 2 uploaded, 6 media total
[2026-09-26T15:30:26.222Z] ✓ 1200 x 1200mm Foldable Accessible Shower Enclosure with Grab Rails - Mobility-Friendly Design — 2 variants, 9-9 photos each, 8 uploaded, 18 media total
[2026-09-26T15:30:30.216Z] ✓ 1200mm Freestanding Double Countertop Vanity Unit with Basin and Wood Worktop - Windsor — 2 variants, 6-6 photos each, 5 uploaded, 12 media total
[2026-09-26T15:30:30.744Z] ✓ 1200mm Freestanding Double Vanity Unit with Basin - Windsor — 2 variants, 5-5 photos each, 4 uploaded, 10 media total
[2026-09-26T15:30:32.116Z] ✓ 1100mm Toilet and Sink Unit with Fittings - Unit & Basin Only - Bali — 28 variants, 6-9 photos each, 108 uploaded, 142 media total
[2026-09-26T15:30:38.654Z] ✓ 1200mm Toilet and Sink Unit with Fittings - Vancouver — 2 variants, 8-10 photos each, 9 uploaded, 18 media total
[2026-09-26T15:30:39.719Z] ✓ 1200mm Freestanding Double Vanity Unit with Basin - Perla — 3 variants, 5-5 photos each, 6 uploaded, 13 media total
[2026-09-26T15:30:39.719Z] progress 25/629 (ok 25, failed 0, uploaded 551)
[2026-09-26T15:30:40.685Z] ✓ 1200mm Freestanding Double Vanity Unit with Wood Worktop - Windsor — 2 variants, 5-5 photos each, 4 uploaded, 10 media total
[2026-09-26T15:30:44.584Z] ✓ 1100mm Toilet and Sink Unit with Square Toilet and Fittings - Bali — 27 variants, 10-12 photos each, 198 uploaded, 235 media total
[2026-09-26T15:30:45.854Z] ✓ Vertical Electric Towel Radiator 1200 x 479mm - Regent — 2 variants, 6-6 photos each, 5 uploaded, 12 media total
[2026-09-26T15:30:48.953Z] ✓ 1200mm Wall Hung Double Countertop Vanity Unit - Lugo — 3 variants, 4-5 photos each, 6 uploaded, 13 media total
[2026-09-26T15:30:52.678Z] ✓ Oak Wood Effect Wall Hung Vanity Unit with Solid Surface Basin - Cali — 2 variants, 6-6 photos each, 5 uploaded, 12 media total
[2026-09-26T15:30:53.980Z] ✓ Walnut Wood Effect Fluted Wall Hung Vanity Unit with Solid Surface Basin - Kobe — 2 variants, 6-6 photos each, 5 uploaded, 12 media total
[2026-09-26T15:30:56.660Z] ✓ 1200mm Wall Hung Double Countertop Vanity Unit with Basin - Lugo — 2 variants, 6-6 photos each, 5 uploaded, 12 media total
[2026-09-26T15:31:00.201Z] ✓ 1200mm Freestanding Double Vanity Unit with Basin - Panama — 2 variants, 5-5 photos each, 4 uploaded, 10 media total
