[2026-09-26T12:09:17.627Z] syncing 1501 Better Bathrooms products to Shopify as DRAFT
[2026-09-26T12:09:30.561Z] ✓ 600mm Black Wall Hung Vanity Unit with Basin - Pendle — 1/1 variants, 5 images, 1 variant images
[2026-09-26T12:09:42.188Z] ✓ 500mm Back to Wall Toilet Unit Only - Baxenden — 5/5 variants, 7 images, 5 variant images
[2026-09-26T12:09:44.988Z] ✓ Freestanding Vanity Unit with Basin - Baxenden — 10/10 variants, 14 images, 10 variant images
[2026-09-26T12:09:45.434Z] ✓ Freestanding Vanity Unit with Basin - Pendle — 9/9 variants, 13 images, 9 variant images
[2026-09-26T12:09:50.937Z] ✓ 400mm Freestanding Cloakroom Vanity Unit with Basin - Baxenden — 5/5 variants, 9 images, 5 variant images
[2026-09-26T12:09:51.336Z] ✓ Double Door White Bathroom Mirror Cabinet 600 x 650mm - Pendle — 1/1 variants, 3 images, 1 variant images
[2026-09-26T12:09:55.186Z] ✓ 560mm Wood Effect Wall Hung Floating Vanity Shelf - Evora — 1/1 variants, 4 images, 1 variant images
[2026-09-26T12:10:06.575Z] ✓ Wall Hung Countertop Vanity Unit - Lugo — 6/6 variants, 9 images, 6 variant images
[2026-09-26T12:10:11.938Z] ✓ 500mm Back to Wall Toilet Unit Only - Pendle — 4/4 variants, 6 images, 4 variant images
[2026-09-26T12:10:13.285Z] ✓ 1200mm Toilet and Sink Unit with Square Toilet - Harper — 2/2 variants, 8 images, 2 variant images
[2026-09-26T12:10:15.412Z] ✓ Bowland Traditional Basin Vanity Unit - More Colours & Sizes Available — 11/11 variants, 16 images, 11 variant images
[2026-09-26T12:10:31.040Z] ✓ Freestanding Vanity Unit with Basin - Kinsley — 6/6 variants, 13 images, 6 variant images
[2026-09-26T12:10:32.220Z] ✓ Freestanding Inset Basin Vanity Unit Pendle - More Colours & Sizes Available — 2/2 variants, 6 images, 2 variant images
[2026-09-26T12:10:33.835Z] ✓ Freestanding Vanity Unit with Basin - Classic — 5/5 variants, 10 images, 5 variant images
[2026-09-26T12:10:35.911Z] ✓ Freestanding Vanity Unit with Basin - Panama — 4/4 variants, 8 images, 4 variant images
[2026-09-26T12:10:51.048Z] ✓ Wall Hung Vanity Unit with Basin - Ashford — 6/6 variants, 10 images, 6 variant images
[2026-09-26T12:10:52.623Z] ✓ 560mm Wall Hung Floating Vanity Shelf and Basin - Evora — 2/2 variants, 7 images, 2 variant images
[2026-09-26T12:10:56.500Z] ✓ 500mm Back to Wall Toilet Unit Only - Classic — 2/2 variants, 4 images, 2 variant images
[2026-09-26T12:10:58.388Z] ✓ Freestanding Vanity Unit with Basin - Camden — 3/3 variants, 11 images, 3 variant images
[2026-09-26T12:11:17.891Z] ✓ 1200mm Freestanding Double Vanity Unit with Basin - Panama — 2/2 variants, 6 images, 2 variant images
[2026-09-26T12:11:22.263Z] ✓ 500mm Back to Wall Toilet Unit Only - Palma — 3/3 variants, 5 images, 3 variant images
[2026-09-26T12:11:24.234Z] ✓ 580mm Corner Freestanding Cloakroom Vanity Unit with Basin - Baxenden — 5/5 variants, 9 images, 5 variant images
[2026-09-26T12:11:26.383Z] ✓ 1100mm Toilet and Sink Unit with Square Toilet and Fittings - Bali — 27/27 variants, 37 images, 27 variant images
[2026-09-26T12:11:39.555Z] ✓ Back to Wall Toilet Unit Only - Pendle — 3/3 variants, 5 images, 3 variant images
[2026-09-26T12:11:42.756Z] ✓ 500mm Curved Corner Freestanding Vanity Unit with Basin - Bowland — 2/2 variants, 8 images, 2 variant images
[2026-09-26T12:11:42.757Z] progress 25/1501 (ok 25, warnings 0, failed 0)
[2026-09-26T12:11:48.603Z] ✓ 650mm Walnut Wood Effect Fluted Wall Hung Countertop Vanity Unit – Matira — 1/1 variants, 6 images, 1 variant images
[2026-09-26T12:11:49.332Z] ✓ 1500mm Toilet and Sink Unit with Storage Unit and Square Toilet - Harper — 2/2 variants, 11 images, 2 variant images
[2026-09-26T12:11:50.292Z] ✓ Toilet and Sink Unit with Traditional Toilet - Baxenden — 9/9 variants, 18 images, 9 variant images
[2026-09-26T12:11:59.089Z] ✓ 650mm Walnut Wood Effect Fluted Wall Hung Countertop Vanity Unit with Basin – Matira — 1/1 variants, 7 images, 1 variant images
[2026-09-26T12:12:04.858Z] ✓ Wall Hung Vanity Unit with Basin - Palma — 6/6 variants, 10 images, 6 variant images
[2026-09-26T12:12:09.860Z] ✓ Double Door Wall Mounted Tall Bathroom Cabinet 400x1400mm Storage Unit - Pendle — 3/3 variants, 6 images, 3 variant images
[2026-09-26T12:12:10.331Z] ✓ 400mm Freestanding Cloakroom Vanity Unit with Basin - Pendle — 6/6 variants, 10 images, 6 variant images
[2026-09-26T12:12:13.476Z] ✓ 800mm Walnut Wood Effect Curved Fluted Freestanding Countertop Vanity Unit – Matira — 1/1 variants, 7 images, 1 variant images
[2026-09-26T12:12:20.361Z] ✓ 600mm Freestanding Vanity Unit with Basin - Avebury — 2/2 variants, 6 images, 2 variant images
[2026-09-26T12:12:30.076Z] ✓ 1060mm Toilet and Sink Unit with Round Toilet - Classic — 2/2 variants, 8 images, 2 variant images
[2026-09-26T12:12:30.500Z] ✓ 650mm Wooden Fluted Wall Hung Countertop Vanity Unit with Basin - Matira — 2/2 variants, 10 images, 2 variant images
[2026-09-26T12:12:32.549Z] ✓ Freestanding Inset Vanity Unit with Basin - Palma - More Sizes & Colours Available — 3/3 variants, 7 images, 3 variant images
[2026-09-26T12:12:38.968Z] ✓ Double Door White Wall Hung Tall Bathroom Cabinet 400 x 1400mm - Pendle — 1/1 variants, 3 images, 1 variant images
[2026-09-26T12:12:40.154Z] ✓ 1200mm Wall Hung Double Countertop Vanity Unit - Lugo — 3/3 variants, 7 images, 3 variant images
[2026-09-26T12:12:51.488Z] ✓ Double Door Wall Mounted Tall Bathroom Cabinet with Handles 350 x 1400mm - Ashford — 6/6 variants, 9 images, 6 variant images
[2026-09-26T12:12:52.847Z] ✓ 400mm Wall Hung Cloakroom Left Hand Vanity Unit with Basin - Pendle — 6/6 variants, 10 images, 6 variant images
[2026-09-26T12:12:59.131Z] ✓ 1200mm Freestanding Double Vanity Unit with Basin - Windsor — 2/2 variants, 6 images, 2 variant images
[2026-09-26T12:12:59.962Z] ✓ Single Door Wall Mounted Tall Bathroom Cabinet 350 x 1250mm - Lugo — 3/3 variants, 5 images, 3 variant images
[2026-09-26T12:13:00.405Z] ✓ 600mm Oak Wood Effect Wall Hung Countertop Vanity Unit with Round Basin - Lugo — 1/1 variants, 6 images, 1 variant images
[2026-09-26T12:13:14.267Z] ✓ 670mm Freestanding Vanity Unit with Square Basin - Harper — 2/2 variants, 6 images, 2 variant images
[2026-09-26T12:13:19.839Z] ✓ Wall Hung Vanity Unit with Basin - Como — 3/3 variants, 7 images, 3 variant images
[2026-09-26T12:13:20.651Z] ✓ 1200mm Wall Hung Double Vanity Unit with Basin - Oslo — 2/2 variants, 6 images, 2 variant images
[2026-09-26T12:13:21.158Z] ✓ Wall Hung Vanity Unit with Basin - Oslo — 5/5 variants, 9 images, 5 variant images
[2026-09-26T12:13:34.357Z] ✓ Freestanding Vanity Unit with Basin - Perla — 5/5 variants, 9 images, 5 variant images
[2026-09-26T12:13:39.774Z] ✓ Freestanding Vanity Unit with Basin - Palma — 6/6 variants, 10 images, 6 variant images
[2026-09-26T12:13:39.777Z] progress 50/1501 (ok 50, warnings 0, failed 0)
[2026-09-26T12:13:40.643Z] ✓ 800mm Wall Hung Countertop Vanity Unit with Worktop and Basin - Morella — 2/2 variants, 7 images, 2 variant images
[2026-09-26T12:13:41.061Z] ✓ Beige Fluted Freestanding Vanity Unit with Basin - Perla — 2/2 variants, 6 images, 2 variant images
[2026-09-26T12:13:53.896Z] ✓ Wall Hung Countertop Vanity Unit with Basin - Lugo — 5/5 variants, 10 images, 5 variant images
[2026-09-26T12:14:00.687Z] ✓ 650mm Wooden Fluted Freestanding Countertop Vanity Unit with Basin - Matira — 2/2 variants, 9 images, 2 variant images
[2026-09-26T12:14:01.148Z] ✓ Freestanding Vanity Unit with Basin - Windsor — 4/4 variants, 8 images, 4 variant images
[2026-09-26T12:14:03.166Z] ✓ Fluted Wall Hung Vanity Units - Melbourne — 15/15 variants, 19 images, 15 variant images
[2026-09-26T12:14:10.563Z] ✓ 1250mm Wooden Fluted Wall Hung Double Countertop Vanity Unit with Basins - Matira — 1/1 variants, 8 images, 1 variant images
[2026-09-26T12:14:14.902Z] ✓ 900mm Curved Right Hand Corner Freestanding Vanity Unit with Basin - Bowland — 4/4 variants, 10 images, 4 variant images
[2026-09-26T12:14:18.725Z] ✓ 1200mm Oak Wood Effect Wall Hung Double Countertop Vanity Unit with Round Basins - Lugo — 1/1 variants, 6 images, 1 variant images
[2026-09-26T12:14:21.391Z] ✓ 650mm Wooden Fluted Freestanding Countertop Vanity Unit - Matira — 2/2 variants, 8 images, 2 variant images
[2026-09-26T12:14:23.554Z] ✓ 650mm Wooden Fluted Wall Hung Countertop Vanity Unit - Matira — 2/2 variants, 9 images, 2 variant images
[2026-09-26T12:14:27.493Z] ✓ 1250mm Walnut Wood Effect Fluted Wall Hung Double Countertop Vanity Unit with Basin– Matira — 1/1 variants, 7 images, 1 variant images
[2026-09-26T12:14:30.669Z] ✓ 410mm Beige Wall Hung Cloakroom Vanity Unit with Basin - Pendle — 1/1 variants, 5 images, 1 variant images
[2026-09-26T12:14:38.415Z] ✓ Ideal Standard Eurovit+ Wall Hung Vanity Unit with Basin — 6/6 variants, 11 images, 6 variant images
[2026-09-26T12:14:38.837Z] ✓ 1200mm Anthracite Wall Hung Double Vanity Unit with Basins - Morella — 1/1 variants, 8 images, 1 variant images
[2026-09-26T12:14:44.505Z] ✓ Walnut Wood Effect Fluted Wall Hung Vanity Unit with Solid Surface Basin - Kobe — 2/2 variants, 7 images, 2 variant images
[2026-09-26T12:14:47.138Z] ✓ 350mm Ideal Standard Eurovit+ Wall Hung Vanity Unit with Basin — 4/4 variants, 9 images, 4 variant images
[2026-09-26T12:14:52.217Z] ✓ 1250mm Wooden Fluted Wall Hung Double Countertop Vanity Unit - Matira — 1/1 variants, 8 images, 1 variant images
[2026-09-26T12:14:58.506Z] ✓ Wood Wall Hung Countertop Vanity Unit with Square Basin - Lugo — 5/5 variants, 10 images, 5 variant images
[2026-09-26T12:14:58.935Z] ✓ Wall Hung Countertop Vanity Unit with Square Basin - Lugo — 4/4 variants, 10 images, 4 variant images
[2026-09-26T12:15:06.935Z] ✓ 1250mm Walnut Wood Effect Fluted Wall Hung Double Countertop Vanity Unit – Matira — 1/1 variants, 6 images, 1 variant images
